Date,Branch,Value,Department
24-01-16,Houston TX,1,Breads
24-01-16,Houston TX,1,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Phoenix AZ,3.9,Breads
24-01-16,Phoenix AZ,3.9,Breads
24-01-16,Phoenix AZ,3.9,Breads
24-01-16,Phoenix AZ,4.9,Breads
24-01-16,Phoenix AZ,1,Breads
24-01-16,Phoenix AZ,1,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Houston TX,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Houston TX,2.95,Breads
24-01-16,Houston TX,2.95,Breads
24-01-16,Houston TX,2.95,Breads
24-01-16,Houston TX,3,Breads
24-01-16,Houston TX,3.9,Breads
24-01-16,Houston TX,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,5.85,Breads
24-01-16,Houston TX,1,Breads
24-01-16,Phoenix AZ,1,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Phoenix AZ,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,1.95,Breads
24-01-16,Atlanta GA,2.95,Breads
24-01-16,Atlanta GA,2.95,Breads
24-01-16,Atlanta GA,2.95,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,3.9,Breads
24-01-16,Atlanta GA,4.9,Breads
24-01-16,Atlanta GA,4.9,Breads
24-01-16,Atlanta GA,5.85,Breads
24-01-16,Atlanta GA,5.85,Breads
24-01-16,Atlanta GA,5.9,Breads
24-01-16,Atlanta GA,1,Breads
24-01-16,Atlanta GA,1,Breads
24-01-16,Atlanta GA,1,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,1.95,Breads
24-01-16,Detroit MI,2.95,Breads
24-01-16,Detroit MI,2.95,Breads
24-01-16,Detroit MI,3.9,Breads
24-01-16,Detroit MI,3.9,Breads
